 0.00	5082	germany-city-holidays	Major Cities in Germany	https://travelwithoutborders.co.uk/destinations/germany-city-holidays/
 0.00	4596	group-holidays-to-germany	Groups	https://travelwithoutborders.co.uk/group-holidays-to-germany/
 0.00	2393	services	Tours	https://travelwithoutborders.co.uk/services/
 0.00	4580	tailor-made-holidays-to-germany	Planning your bespoke holiday to Germany	https://travelwithoutborders.co.uk/tailor-made-holidays-to-germany/
 0.25	4774	rothenburg	Rothenburg ob der Tauber	https://travelwithoutborders.co.uk/destinations/holidays-to-bavaria/rothenburg/
 0.33	4996	holidays-to-the-rhine-valley	The Rhine, Mosel and Eifel	https://travelwithoutborders.co.uk/destinations/holidays-to-the-rhine-valley/
 0.33	4823	konstanz	Konstanz/Constance (Lake Constance)	https://travelwithoutborders.co.uk/destinations/holidays-to-the-black-forest/konstanz/
 0.33	4832	lindau	Lindau (Lake Constance)	https://travelwithoutborders.co.uk/destinations/holidays-to-the-black-forest/lindau/
 0.50	5419	augsburg-football-tour	Football Camps	https://travelwithoutborders.co.uk/special-interest-holidays/augsburg-football-tour/
 0.50	7339	trade-de	Trade (Deutsch)	https://travelwithoutborders.co.uk/trade-de/
 0.67	4501	colditz-castle-trips	The Colditz Castle Experience	https://travelwithoutborders.co.uk/special-interest-holidays/colditz-castle-trips/
 0.67	5305	fairy-tale-castles-holidays	Fairy Tale Castle Holidays	https://travelwithoutborders.co.uk/special-interest-holidays/fairy-tale-castles-holidays/
 0.67	4976	holidays-to-harz-mountains	Goslar (Harz Mountains)	https://travelwithoutborders.co.uk/destinations/holidays-to-northern-germany/holidays-to-harz-mountains/
 0.67	4748	holidays-to-lake-constance	Meersburg (Lake Constance)	https://travelwithoutborders.co.uk/destinations/holidays-to-the-black-forest/holidays-to-lake-constance/
 1.00	4998	aachen	Aachen	https://travelwithoutborders.co.uk/destinations/holidays-to-the-rhine-valley/aachen/
 1.00	2390	about	About	https://travelwithoutborders.co.uk/about/
 1.00	5384	augsburg	Augsburg	https://travelwithoutborders.co.uk/destinations/holidays-to-bavaria/augsburg/
 1.00	5338	augsburg-plarrer-volksfest	Augsburg Plärrer Volksfest	https://travelwithoutborders.co.uk/special-events/augsburg-plarrer-volksfest/
 1.00	4809	baden-baden	Baden-Baden	https://travelwithoutborders.co.uk/destinations/holidays-to-the-black-forest/baden-baden/
 1.00	4681	berchtesgadener-land	Berchtesgadener Land	https://travelwithoutborders.co.uk/destinations/holidays-to-bavaria/berchtesgadener-land/
 1.00	5005	bernkastel-kues	Bernkastel-Kues	https://travelwithoutborders.co.uk/destinations/holidays-to-the-rhine-valley/bernkastel-kues/
 1.00	2396	blog	Blog	https://travelwithoutborders.co.uk/blog/
 1.00	5013	boppard	Boppard	https://travelwithoutborders.co.uk/destinations/holidays-to-the-rhine-valley/boppard/
 1.00	5283	british-german-royal-heritage-route	British-German Royal Heritage Route	https://travelwithoutborders.co.uk/special-interest-holidays/british-german-royal-heritage-route/
 1.00	5344	canstatter-volksfest	Canstatter Volksfest	https://travelwithoutborders.co.uk/special-events/canstatter-volksfest/
 1.00	4941	celle	Celle	https://travelwithoutborders.co.uk/destinations/holidays-to-northern-germany/celle/
 1.00	4808	christmas-markets	Christmas Markets	https://travelwithoutborders.co.uk/special-interest-holidays/christmas-markets/
 1.00	5024	cochem	Cochem	https://travelwithoutborders.co.uk/destinations/holidays-to-the-rhine-valley/cochem/
 1.00	5373	cologne-carnival	Cologne Carnival	https://travelwithoutborders.co.uk/special-events/cologne-carnival/
 1.00	4014	contact	Contact	https://travelwithoutborders.co.uk/contact/
 1.00	6413	cookie-policy	Cookie Policy	https://travelwithoutborders.co.uk/cookie-policy/
 1.00	5033	daun	Daun	https://travelwithoutborders.co.uk/destinations/holidays-to-the-rhine-valley/daun/
 1.00	4654	destinations	Destinations	https://travelwithoutborders.co.uk/destinations/
 1.00	4867	eisenach	Eisenach	https://travelwithoutborders.co.uk/destinations/holidays-to-eastern-germany/eisenach/
 1.00	4877	erfurt	Erfurt	https://travelwithoutborders.co.uk/destinations/holidays-to-eastern-germany/erfurt/
 1.00	5400	fine-wine-and-dine	Wine and Dine	https://travelwithoutborders.co.uk/special-interest-holidays/fine-wine-and-dine/
 1.00	4712	fussen-schwangau	Füssen &#038; Schwangau	https://travelwithoutborders.co.uk/destinations/holidays-to-bavaria/fussen-schwangau/
 1.00	4722	garmisch-partenkirchen	Garmisch-Partenkirchen	https://travelwithoutborders.co.uk/destinations/holidays-to-bavaria/garmisch-partenkirchen/
 1.00	5404	hamburger-dom	Hamburger Dom	https://travelwithoutborders.co.uk/special-events/hamburger-dom/
 1.00	4949	hamelin	Hamelin	https://travelwithoutborders.co.uk/destinations/holidays-to-northern-germany/hamelin/
 1.00	4644	holidays-to-bamberg	Bamberg	https://travelwithoutborders.co.uk/destinations/holidays-to-bavaria/holidays-to-bamberg/
 1.00	2	holidays-to-bavaria	Bavaria	https://travelwithoutborders.co.uk/destinations/holidays-to-bavaria/
 1.00	4669	holidays-to-bayreuth	Bayreuth	https://travelwithoutborders.co.uk/destinations/holidays-to-bavaria/holidays-to-bayreuth/
 1.00	5100	holidays-to-berlin	Berlin	https://travelwithoutborders.co.uk/destinations/germany-city-holidays/holidays-to-berlin/
 1.00	5088	holidays-to-bremen	Bremen	https://travelwithoutborders.co.uk/destinations/germany-city-holidays/holidays-to-bremen/
 1.00	4694	holidays-to-coburg	Coburg	https://travelwithoutborders.co.uk/destinations/holidays-to-bavaria/holidays-to-coburg/
 1.00	5112	holidays-to-cologne	Cologne	https://travelwithoutborders.co.uk/destinations/germany-city-holidays/holidays-to-cologne/
 1.00	5134	holidays-to-dresden	Dresden	https://travelwithoutborders.co.uk/destinations/germany-city-holidays/holidays-to-dresden/
 1.00	5126	holidays-to-dusseldorf	Düsseldorf	https://travelwithoutborders.co.uk/destinations/germany-city-holidays/holidays-to-dusseldorf/
 1.00	4859	holidays-to-eastern-germany	Eastern Germany	https://travelwithoutborders.co.uk/destinations/holidays-to-eastern-germany/
 1.00	5144	holidays-to-frankfurt	Frankfurt	https://travelwithoutborders.co.uk/destinations/germany-city-holidays/holidays-to-frankfurt/
 1.00	4792	holidays-to-freiburg	Freiburg	https://travelwithoutborders.co.uk/destinations/holidays-to-the-black-forest/holidays-to-freiburg/
 1.00	5171	holidays-to-hamburg	Hamburg	https://travelwithoutborders.co.uk/destinations/germany-city-holidays/holidays-to-hamburg/
 1.00	5158	holidays-to-hannover	Hannover	https://travelwithoutborders.co.uk/destinations/germany-city-holidays/holidays-to-hannover/
 1.00	4703	holidays-to-heidelberg	Heidelberg	https://travelwithoutborders.co.uk/destinations/holidays-to-bavaria/holidays-to-heidelberg/
 1.00	5179	holidays-to-leipzig	Leipzig	https://travelwithoutborders.co.uk/destinations/germany-city-holidays/holidays-to-leipzig/
 1.00	5187	holidays-to-munich	Munich	https://travelwithoutborders.co.uk/destinations/germany-city-holidays/holidays-to-munich/
 1.00	4937	holidays-to-northern-germany	Northern Germany	https://travelwithoutborders.co.uk/destinations/holidays-to-northern-germany/
 1.00	5196	holidays-to-nuremberg	Nuremberg	https://travelwithoutborders.co.uk/destinations/germany-city-holidays/holidays-to-nuremberg/
 1.00	5205	holidays-to-stuttgart	Stuttgart	https://travelwithoutborders.co.uk/destinations/germany-city-holidays/holidays-to-stuttgart/
 1.00	4804	holidays-to-the-black-forest	The Black Forest	https://travelwithoutborders.co.uk/destinations/holidays-to-the-black-forest/
 1.00	30	homepage-travel	Homepage	https://travelwithoutborders.co.uk/
 1.00	5041	koblenz	Koblenz	https://travelwithoutborders.co.uk/destinations/holidays-to-the-rhine-valley/koblenz/
 1.00	4958	lubeck	Lübeck	https://travelwithoutborders.co.uk/destinations/holidays-to-northern-germany/lubeck/
 1.00	6564	motorcar-enthusiasts-holidays	Motorcar Enthusiasts Holidays	https://travelwithoutborders.co.uk/special-interest-holidays/motorcar-enthusiasts-holidays/
 1.00	4730	oberammergau	Oberammergau	https://travelwithoutborders.co.uk/destinations/holidays-to-bavaria/oberammergau/
 1.00	5413	oktoberfest	Oktoberfest	https://travelwithoutborders.co.uk/special-events/oktoberfest/
 1.00	4739	passau	Passau	https://travelwithoutborders.co.uk/destinations/holidays-to-bavaria/passau/
 1.00	4889	potsdam	Potsdam	https://travelwithoutborders.co.uk/destinations/holidays-to-eastern-germany/potsdam/
 1.00	4756	regensburg	Regensburg	https://travelwithoutborders.co.uk/destinations/holidays-to-bavaria/regensburg/
 1.00	5416	rhine-in-flames	Rhine in Flames	https://travelwithoutborders.co.uk/special-events/rhine-in-flames/
 1.00	4909	rostock-and-warnemunde	Rostock and Warnemünde	https://travelwithoutborders.co.uk/destinations/holidays-to-eastern-germany/rostock-and-warnemunde/
 1.00	5049	rudesheim	Rüdesheim	https://travelwithoutborders.co.uk/destinations/holidays-to-the-rhine-valley/rudesheim/
 1.00	4840	schluchsee	Schluchsee	https://travelwithoutborders.co.uk/destinations/holidays-to-the-black-forest/schluchsee/
 1.00	4899	schwerin	Schwerin	https://travelwithoutborders.co.uk/destinations/holidays-to-eastern-germany/schwerin/
 1.00	4564	special-events	Special Events	https://travelwithoutborders.co.uk/special-events/
 1.00	4476	special-interest-holidays	Special Interest Holidays	https://travelwithoutborders.co.uk/special-interest-holidays/
 1.00	5433	terms-conditions	Terms &#038; Conditions	https://travelwithoutborders.co.uk/terms-conditions/
 1.00	7337	testimonials	Testimonials	https://travelwithoutborders.co.uk/testimonials/
 1.00	5535	the-eagles-nest	The Eagle&#8217;s Nest	https://travelwithoutborders.co.uk/special-interest-holidays/the-eagles-nest/
 1.00	4968	timmendorfer-strand	Timmendorfer Strand	https://travelwithoutborders.co.uk/destinations/holidays-to-northern-germany/timmendorfer-strand/
 1.00	4848	titisee-neustadt	Titisee-Neustadt	https://travelwithoutborders.co.uk/destinations/holidays-to-the-black-forest/titisee-neustadt/
 1.00	7338	trade	Trade	https://travelwithoutborders.co.uk/trade/
 1.00	4764	triberg	Triberg	https://travelwithoutborders.co.uk/destinations/holidays-to-the-black-forest/triberg/
 1.00	5056	trier	Trier	https://travelwithoutborders.co.uk/destinations/holidays-to-the-rhine-valley/trier/
 1.00	5440	twb-privacy-policy	Privacy Policy	https://travelwithoutborders.co.uk/twb-privacy-policy/
 1.00	4921	weimar	Weimar	https://travelwithoutborders.co.uk/destinations/holidays-to-eastern-germany/weimar/
 1.00	4783	wurzburg	Würzburg	https://travelwithoutborders.co.uk/destinations/holidays-to-bavaria/wurzburg/
 1.00	5063	zell-mosel	Zell-Mosel	https://travelwithoutborders.co.uk/destinations/holidays-to-the-rhine-valley/zell-mosel/
